Page ID,Page name,Disclaimer,Amount spent (MYR)
289963741156793,We Fully Support BN 我们全力支持国阵,These ads ran without a disclaimer,≤100
401788663279891,Yayasan Sofa Negeri Sembilan,Yayasan Sofa,≤100
446127318757289,Sirap Limau,Sirap Limau,≤100
16194831839,Anwar Ibrahim,Anwar Ibrahim,≤100
237380633036751,火箭报,DAP Malaysia,≤100
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS),≤100
112512589548367,Bersih dan Stabil : BEST,Bersih dan Stabil : BEST,≤100
135868173124026,羽軒粉絲團,Ng Weng Thiam,≤100
113456700986972,Malaysia Momentum,Malaysia Harmoni,≤100
1298058263542976,Setia Pak Mail,Setia Pak Mail,≤100
157791694829873,Manndzri,Manndzri,≤100
1071860782942949,JohorPress,Sayefullah Bin Jasman,≤100
103122425063527,Mohd Tarmizi Yahaya,Nazim Bin Maarop,≤100
103650461352854,Persepsi Tambun,Ewan Shazwan,≤100
413417772151030,NH ONLINE,Nor Hamzie Bin Md Hambali,≤100
2164630037156785,Adly Zahari,AMANAH,≤100
1481225741958270,YB Arafat - Pusat Khidmat Rakyat ADUN Hulu Kinta,Parti Keadilan Rakyat,≤100
654227084641097,Datuk Dr. Zulkifli Mohamad al-Bakri,Datuk Dr. Zulkifli Mohamad al-Bakri,≤100
269301935826,ROTIKAYA,ROTIKAYA,≤100
172896853380686,Adamelgabry,These ads ran without a disclaimer,≤100
112336401483901,EXCommerce-Live,These ads ran without a disclaimer,≤100
119716261393425,笑图俱乐部!!!保证笑死你,Ng Weng Thiam,≤100
103627275288286,Lumi News Malaysia,Lumi Global Sdn Bhd,≤100
928874154117959,Azli Yusof,AMANAH,≤100
110297484122510,Malakat Grocer,These ads ran without a disclaimer,≤100
92562929270,Hot FM,Hot FM,≤100
102488519333212,Ivone Low Yi Wen,Ivone Low Yi Wen,≤100
107047938456392,Jam2u.com,VIDARA SDN BHD,≤100
425695967637606,Sany Hamzan,AMANAH,≤100
144912392365553,Dato' Ahmad Yakob,Dato' Ahmad Yakob,≤100
100569215711534,Sinar Daily,Sinar Daily,≤100
638401542848443,Shamsul Anuar Nasarah,Barisan Nasional,≤100
212554495440954,Dato Sri Izudin Ishak,Izudin Bin Ishak,≤100
1684261028524641,Pusat Pengajian Ibnu Razak,Pusat Pengajian Ibnu Razak,≤100
101258662801377,TokMin 4 P132 Port Dickson,Ahmad Nazib Bin Ismail,≤100
150274412333441,Ana Tahu,Ana Tahu,≤100
2006291752954147,Zuraida Kamaruddin,Megat Abdul Al Hakim Bin M Lokman,≤100
101526566105452,BN4 Segambut,Aiman Uzair Bin Mohamed Nazir,≤100
1726648214218427,Ustaz Muhammad Fawwaz Mohamad Jan,USTAZ MUHAMMAD FAWWAZ MOHAMAD JAN,≤100
528262633921715,Pemuda PAS Shah Alam,Pemuda PAS Shah Alam,≤100
107023271786947,Molek FM,Molek FM,≤100
164492150267814,Dewan Muslimat PAS Melaka,Dewan Muslimat PAS Melaka,≤100
428782500998481,Cally Ting Zhao Song,Cally Ting Zhao Song,≤100
1011160672261971,Parti Amanah Negara,OREN TV,≤100
199039390167044,Ameerah Malaysia,Ameerah Malaysia,≤100
111129770301065,Siri Bestnya,Siri Bestnya,≤100
236402373940290,Syahredzan Johan,Syahredzan Bin Johan,≤100
102687825969084,Mohamad Yahaya,AMANAH,≤100
202159623191198,Kosmo Online,Kosmo Online,≤100
100256272901671,Johan Ropi,Johan Ropi,≤100
120324739939875,Jom Sihat,These ads ran without a disclaimer,≤100
457750270999884,Mahfuz Omar,Mahfuz Omar,≤100
108722695160066,Haji Mohamed Diah,Atiqah Husna,≤100
276342006041537,Dr. Ahmad Termizi Ramli,AMANAH,≤100
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,≤100
106433078866990,Jus Ceda Solusi Buasir,Amin Farhan Bin Azami,≤100
169284053121990,Pemuda PAS Bangi,These ads ran without a disclaimer,≤100
135856610910,Liew Chin Tong,DAP Malaysia,≤100
102780751193893,Threebs.co,Threebs.co,≤100
138361272876308,马华公会,马华公会,≤100
107970748745205,Penerangan KeAdilan Negeri Sembilan,Edy Noor Bin Reduan,≤100
149767413633,Safety Driving Centre (M) Sdn Bhd,These ads ran without a disclaimer,≤100
105191331427912,Perikatan Nasional Shah Alam,Perikatan Nasional Shah Alam,≤100
102662592664570,KJ John P105 Petaling Jaya,K.J John A/L John Kuruvilla,≤100
287683225711,UN Environment Programme,UN Environment Programme,≤100
593529354077239,Akmal Nasir,Akmal Nasir,≤100
200627917067197,Nengok TV,Melaka Plus,≤100
109246994982100,I Am DSSA,I Am DSSA,≤100
1534279376863760,BK Tan 陈浩坤,These ads ran without a disclaimer,≤100
106894858726624,Save the Children International,These ads ran without a disclaimer,≤100
187383355103708,Perikatan Nasional Bukit Chandan,Perikatan Nasional Bukit Chandan,≤100
109530075225317,Rezeki Infaq,Nurhaniz Binti Mohamad Shah,≤100
1772535526329042,Friends Of Selangor,Friends Of Selangor,≤100
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100
