Page ID,Page name,Disclaimer,Amount spent (MYR)
104688308002388,陈昭宋 Cally Ting,陈昭宋 Cally Ting,515
474963719253432,Yayasan Ikhlas,Yayasan Ikhlas,513
101103428307417,BN COMMS Pahang,Salman Bin Mohd Zaki,500
104263289104340,Inisiatif Selangor,Inisiatif Selangor,477
109611277872855,Wong Siew Mun - 黄绍敏,Wong Siew Mun - 黄绍敏,475
37447942417,Nurul Izzah Anwar,Parti Keadilan Rakyat,474
176159849754763,MCA,MCA,457
354288067957683,李政贤,李政贤,452
106687148921039,IM吹水站,Henry Kueh Hsiao Wei,446
100682875880155,Doctor's Voice,These ads ran without a disclaimer,436
1071860782942949,JohorPress,Sayefullah Bin Jasman,420
469265806572391,Ustaz Nazri bin Ahmad,Khairul Izwan,403
130114577096206,刘镇东,DAP Malaysia,390
318368621577316,Fadhli Shaari,Fadhli Shaari,385
401788663279891,Yayasan Sofa Negeri Sembilan,Yayasan Sofa,384
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS) Pusat,383
1593554760858971,Dato' Asmawi,Dato' Asmawi,382
100173982517485,MyUndi,MyUndi,377
1529563417302750,Pemuda UMNO Temerloh,Azril Rizal Yusof Bin Mohd Sarit,375
101387829455160,GO2V,GO2V,374
100206909571789,Suara Indera Mahkota,Henry Kueh Hsiao Wei,369
105274205729426,Mohd Johari Bin Hussain,Muhamad Khalid Bin Tan,364
103627275288286,Lumi News Malaysia,Lumi Global Sdn Bhd,352
1395571097151964,Rakyat Sarawak Kini,Rakyat Sarawak Kini,349
669791046367615,Malaysia Gazette,Malaysia Gazette,347
200627917067197,Nengok TV,Melaka Plus,341
102662592664570,KJ John P105 Petaling Jaya,K.J John A/L John Kuruvilla,337
113169080150399,Pendapat Malaysia,These ads ran without a disclaimer,327
195105060510135,Kementerian Dalam Negeri (KDN),Aiman Hakim Bin Mohd Yusof,322
109246994982100,I Am DSSA,I Am DSSA,315
107047938456392,Jam2u.com,VIDARA SDN BHD,314
101986295751246,Muhamad Khaider Kamil,Muhamad Khaider Kamil,312
269301935826,ROTIKAYA,ROTIKAYA,311
106760311231045,Hj Zuraidi bin Ismail,Hj Zuraidi bin Ismail,307
108713149189581,馬來西亞東方日報 Oriental Daily News Malaysia,馬來西亞東方日報 Oriental Daily News Malaysia,306
