Page ID,Page name,Disclaimer,Amount spent (MYR)
113169080150399,Pendapat Malaysia,These ads ran without a disclaimer,843
122913508099,Parti Gerakan Rakyat Malaysia,PGRM,818
176159849754763,MCA,MCA,817
289963741156793,We Fully Support BN 我们全力支持国阵,We Fully Support BN 我们全力支持国阵,791
446127318757289,Sirap Limau,Sirap Limau,790
204862942932993,Nikkei Asia,These ads ran without a disclaimer,780
106894858726624,Save the Children International,These ads ran without a disclaimer,768
109397945250592,Rumah Selangorku Cyberjaya,These ads ran without a disclaimer,762
112336401483901,EXCommerce-Live,These ads ran without a disclaimer,751
135856610910,Liew Chin Tong,DAP Malaysia,735
104896005341659,Gagasan Bebas,Muhamamd Faiz Bin Kamaruddin,716
109246994982100,I Am DSSA,I Am DSSA,707
103731065885704,Samsudin Mohamad Fauzi,Cloud Pro International Sdn. Bhd.,706
100882136162079,Perikatan Nasional Wilayah Persekutuan,Shahira Fazira Talib,689
102931825658951,Kebangkitan Kuala Selangor,Kebangkitan Kuala Selangor,680
333762569997423,Dato' Sri Tuan Ibrahim bin Tuan Man,Dato' Sri Tuan Ibrahim bin Tuan Man,671
2091629871062811,Syed Abdul Razak Alsagoff,Syed Abdul Razak Alsagoff,663
354288067957683,李政贤,李政贤,655
102662592664570,KJ John P105 Petaling Jaya,Emilia Hartini Binti Abdul Patah,642
204588107159019,Projek Imarah Masjid,These ads ran without a disclaimer,630
1071860782942949,JohorPress,Sayefullah Bin Jasman,627
106457262288790,Zulkifli Fattah - Parti Rakyat Malaysia,Ramesh Sevalingam,615
2006291752954147,Zuraida Kamaruddin,Megat Abdul Al Hakim Bin M Lokman,600
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,596
100436122888340,Undi Gombak,Hareeraja Thechina Murthy,588
195775758651,Lee Chean Chung,PARTI KEADILAN RAKYAT,586
130114577096206,刘镇东,DAP Malaysia,585
109369361740547,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,583
107047938456392,Jam2u.com,VIDARA SDN BHD,579
928874154117959,Azli Yusof,AMANAH,578
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia,574
355049075348500,Oka空气净化机,These ads ran without a disclaimer,560
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,559
425695967637606,Sany Hamzan,AMANAH,543
105849531564453,有间书馆,These ads ran without a disclaimer,538
106396774426309,Theng Book 汤木,Theng Book 汤木,525
101246285304601,Mike Chong Yew Chuan - 张佑铨,Mike Chong Yew Chuan - 张佑铨,525
1772535526329042,Friends Of Selangor,Friends Of Selangor,524
525165360893616,Perikatan Nasional Titiwangsa,Muizzuddin Bin Hamid,514
105191331427912,Perikatan Nasional Shah Alam,Perikatan Nasional Shah Alam,510
221096761346,Utusan Online,Media Mulia Sdn Bhd,509
103741035747970,Masjid Kariah Bandar Perdana II,These ads ran without a disclaimer,502
105095057904484,William Leong 梁自坚,Swee Sheun Lee,497
193803180998087,LIAM - Life Insurance Association of Malaysia,LIAM - Life Insurance Association of Malaysia,485
1176135099088625,Thong Chi Wah - Kepong Commissioner for Oaths,Thong Chi Wah,485
