Page ID,Page name,Disclaimer,Amount spent (MYR)
145165568851292,Rafizi Ramli,Ayuh Malaysia,222
106433078866990,Jus Ceda Solusi Buasir,Amin Farhan Bin Azami,221
102416408995926,Tahfiz Kebajikan Ar Razali,Tahfiz Kebajikan Ar Razali,219
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,217
643562522335339,KyoChon Malaysia,These ads ran without a disclaimer,215
669791046367615,Malaysia Gazette,Malaysia Gazette,206
112512589548367,Bersih dan Stabil : BEST,Bersih dan Stabil : BEST,204
428782500998481,Cally Ting Zhao Song,Cally Ting Zhao Song,200
845030752174530,Ameerah Melaka,Ameerah Melaka,199
104688308002388,陈昭宋 Cally Ting,陈昭宋 Cally Ting,197
217391881631388,SAYS,SAYS,196
135091239861609,Nur Jazlan Mohamed,Nur Jazlan Mohamed,191
638401542848443,Shamsul Anuar Nasarah,Barisan Nasional,186
47298465905,Malaysiakini,FG Media Sdn Bhd,178
173145969372908,Kumpulan Jihad Ekonomi,Kumpulan Jihad Ekonomi,176
221096761346,Utusan Online,Media Mulia Sdn Bhd,175
202159623191198,Kosmo Online,Kosmo Online,174
204588107159019,Projek Imarah Masjid,These ads ran without a disclaimer,174
104231918021693,Malaysiapost,Malaysiapost,170
103741035747970,Masjid Kariah Bandar Perdana II,These ads ran without a disclaimer,170
1726648214218427,Ustaz Muhammad Fawwaz Mohamad Jan,USTAZ MUHAMMAD FAWWAZ MOHAMAD JAN,169
154574060056739,Warta Rakyat,Warta Rakyat,161
102621122630588,Nor Azmiza Mamat,Parti Keadilan Rakyat,159
1684261028524641,Pusat Pengajian Ibnu Razak,Pusat Pengajian Ibnu Razak,156
1419575668348742,Gerakan Muafakat,Mohd Rais Bin Omar,155
109918387978015,沒有中間商賺差價,These ads ran without a disclaimer,155
115531496522198,Ustaz Zamani Ibrahim,Ustaz Zamani Ibrahim,147
100971795192481,NextStep Malaysia,Nextstep Malaysia,146
135289458465,NST Online,NST Online,134
110633418047043,DARE,DARE,134
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,130
107498638733429,Pemuda PAS Johor,Pemuda PAS Johor,129
560429700762980,PAS SHAH ALAM,PAS SHAH ALAM,121
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,120
1552968798293147,Suara.TV,Suara.TV,119
2212692808965426,蓝天 Lan Tian,蓝天 Lan Tian,113
